age,annual_income,employment_length,credit_score,dti_ratio,utilization,num_derogatory,num_credit_lines,home_ownership,loan_amount,loan_purpose,default_flag
60,47949,0,636,0.3996,0.3585,0,11,rent,8400,medical,1
60,54926,1,783,0.2419,0.2002,0,17,mortgage,16400,medical,0
50,56059,10,825,0.4476,0.0,0,10,mortgage,17700,business,1
24,21929,2,672,0.3253,0.156,0,9,mortgage,4200,business,0
50,20000,7,752,0.2893,0.2255,0,12,rent,3100,debt_consolidation,0
44,62780,22,850,0.2753,0.3064,0,16,own,9000,personal,0
49,27601,6,823,0.4826,0.294,0,11,rent,6200,education,1
49,40466,11,697,0.4085,0.4141,0,7,rent,13400,medical,1
35,57938,6,802,0.2717,0.203,0,7,rent,13300,personal,0
33,50587,11,705,0.3308,0.2754,0,10,mortgage,14600,business,0
41,46002,4,711,0.2857,0.2594,0,6,own,8800,personal,1
47,50259,4,673,0.2384,0.1196,0,6,mortgage,13700,home_improvement,0
55,54935,17,704,0.2462,0.255,0,6,own,7800,education,0
50,47288,13,676,0.3877,0.2974,0,9,own,13000,education,0
45,20000,9,518,0.3286,0.3038,0,12,rent,6700,medical,0
48,45874,15,800,0.2683,0.0,0,10,mortgage,2700,education,0
70,29336,2,696,0.301,0.4797,0,15,rent,11200,medical,0
64,40752,14,797,0.0831,0.1635,0,10,rent,8000,medical,0
22,63951,0,752,0.4134,0.2349,0,21,rent,8500,personal,0
38,79826,6,611,0.2872,0.3244,0,8,mortgage,4500,education,0
65,57723,28,836,0.3197,0.1026,0,12,mortgage,18900,home_improvement,0
30,27750,1,680,0.2755,0.0304,0,14,rent,800,debt_consolidation,0
48,51213,18,758,0.1947,0.2748,0,8,rent,16700,business,0
44,59396,6,720,0.4195,0.2311,0,15,mortgage,9000,debt_consolidation,1
61,48221,1,630,0.3723,0.4903,0,9,own,8900,education,1
70,66674,11,798,0.381,0.3198,0,9,own,25500,debt_consolidation,0
58,39056,1,648,0.3332,0.2739,0,11,rent,6700,home_improvement,1
22,27244,0,650,0.5,0.3432,0,15,rent,2500,medical,0
60,65356,19,649,0.2865,0.2809,0,8,own,13100,debt_consolidation,0
52,77585,2,634,0.4255,0.2207,0,16,mortgage,12000,education,0
25,27521,2,701,0.2759,0.2896,0,13,own,9400,personal,0
50,57809,6,639,0.4497,0.366,0,11,own,18700,medical,0
58,47620,3,574,0.4047,0.4251,0,18,rent,1100,home_improvement,1
54,65067,2,800,0.2722,0.1523,0,15,own,25900,home_improvement,0
35,61357,10,672,0.4182,0.3463,0,20,mortgage,18800,medical,1
67,52404,3,807,0.3719,0.0336,0,15,rent,17400,medical,0
34,59391,12,669,0.3234,0.0599,0,6,own,3700,education,0
52,20000,1,625,0.3658,0.3095,0,28,rent,3600,medical,1
43,45648,0,628,0.3588,0.5348,0,13,rent,4700,debt_consolidation,0
60,69773,8,735,0.2844,0.159,0,17,own,7600,education,0
58,55324,3,695,0.2989,0.2893,0,11,mortgage,21600,business,0
39,30866,14,756,0.2167,0.3525,0,17,rent,4000,home_improvement,0
70,50978,4,698,0.3758,0.2101,0,18,own,16100,home_improvement,0
60,35686,5,708,0.3429,0.2056,0,11,mortgage,6200,personal,0
33,41752,2,575,0.4343,0.3707,0,9,mortgage,15100,home_improvement,0
30,69089,7,772,0.2401,0.1851,0,13,rent,11400,home_improvement,0
61,46957,2,727,0.3448,0.1371,0,21,rent,16900,medical,1
60,48877,5,693,0.3699,0.2356,0,15,rent,10300,medical,0
51,30109,2,758,0.291,0.423,0,15,rent,9000,education,0
41,35701,3,773,0.3438,0.2624,0,11,rent,1800,business,0
23,31549,1,687,0.3618,0.184,0,13,rent,8500,medical,0
58,52214,0,691,0.184,0.1977,0,3,own,13700,debt_consolidation,0
49,58465,14,718,0.3971,0.1135,0,16,rent,17000,debt_consolidation,0
42,45519,20,640,0.4381,0.5664,0,9,rent,12900,personal,1
67,32090,7,712,0.2644,0.2835,0,14,rent,2700,medical,1
49,24708,5,653,0.4371,0.0,0,3,rent,1700,business,0
68,48204,13,605,0.339,0.5992,0,13,rent,7800,medical,1
39,53689,0,626,0.3001,0.4388,0,13,rent,16000,education,1
68,57623,0,640,0.4517,0.3222,0,10,own,8500,debt_consolidation,0
62,63588,7,803,0.3962,0.0774,0,14,own,12900,debt_consolidation,0
29,39043,1,560,0.4741,0.3876,0,14,own,1100,business,0
54,56628,21,776,0.2697,0.0662,0,20,rent,14700,medical,0
27,72069,5,581,0.3395,0.2131,0,7,mortgage,12600,debt_consolidation,0
26,20000,0,565,0.2069,0.3094,0,10,rent,7600,debt_consolidation,0
53,38898,9,805,0.4404,0.0,0,12,mortgage,13500,business,0
61,61296,13,797,0.4002,0.302,0,18,mortgage,7900,education,0
57,36588,1,664,0.2277,0.3792,0,19,own,9400,business,0
43,42814,0,639,0.4145,0.3946,0,7,rent,7800,debt_consolidation,0
60,23234,0,700,0.2306,0.3008,0,15,rent,800,education,0
43,34675,1,627,0.4766,0.3605,0,10,rent,1800,personal,0
58,20148,3,715,0.4265,0.115,0,12,rent,5400,education,0
35,45266,13,659,0.2956,0.558,0,13,own,13600,home_improvement,0
57,51613,8,719,0.3169,0.3733,0,20,own,3800,debt_consolidation,0
23,32974,1,771,0.3449,0.2938,0,8,rent,7900,home_improvement,0
64,20000,1,668,0.3221,0.4601,0,17,rent,6900,personal,0
32,31221,10,658,0.3047,0.2945,0,11,rent,700,home_improvement,0
31,51829,9,561,0.2374,0.3186,0,18,rent,11800,business,1
54,43454,2,653,0.314,0.291,0,11,mortgage,6400,personal,0
59,64223,2,739,0.4084,0.0076,0,16,rent,10800,home_improvement,0
33,63173,3,622,0.2975,0.6658,0,10,rent,12500,personal,0
49,59269,0,669,0.3663,0.0438,0,8,own,4900,business,0
38,55496,16,765,0.4268,0.2087,0,8,mortgage,2300,home_improvement,0
58,34196,0,664,0.4094,0.1721,0,15,rent,5000,personal,0
66,53542,11,753,0.3266,0.1455,0,14,rent,4000,medical,0
49,76404,7,701,0.1487,0.2459,0,12,own,20800,personal,0
48,46657,7,783,0.3309,0.1489,0,10,mortgage,2500,medical,0
52,28202,1,683,0.3122,0.2115,0,12,rent,8900,home_improvement,0
53,38062,1,753,0.2851,0.2556,0,20,mortgage,2000,medical,0
41,45475,6,623,0.3989,0.2751,0,15,rent,4500,debt_consolidation,0
